MarkInboxMessageRead - MutipleMessageBox,Partner Service_BaaS_ACC,1410867,Run TestCase - SendCNMessage - NT17 - First,https://gdcqatestrail01/testrail/index.php?/tests/view/177233390,https://gdcqatestrail01.nextestate.com:448/108/1410867/200596570-2024-06-30-05-22-45--request.txt,https://gdcqatestrail01.nextestate.com:448/108/1410867/200596570-2024-06-30-05-22-45--response.txt
GetPaymentInstrumentsV2 - Usage - VirtualCard - Active- Partner - PanCvvExp,Partner Service_BaaS_ACC,1410867,Run TestCase - Enrollments,https://gdcqatestrail01/testrail/index.php?/tests/view/177233502,https://gdcqatestrail01.nextestate.com:448/108/1410867/200598494-2024-06-30-05-17-27--request.txt,https://gdcqatestrail01.nextestate.com:448/108/1410867/200598494-2024-06-30-05-17-27--response.txt
GetPaymentInstruments - VirtualCard,Partner Service_BaaS_ACC,1410867,Run TestCase - Enrollments,https://gdcqatestrail01/testrail/index.php?/tests/view/177233490,https://gdcqatestrail01.nextestate.com:448/108/1410867/200598446-2024-06-30-05-13-50--request.txt,https://gdcqatestrail01.nextestate.com:448/108/1410867/200598446-2024-06-30-05-13-50--response.txt
GetPaymentInstrument - WithExtend - VirtualCard - Deactivated - WithoutPINSet - Within15Days - 321,Partner Service_BaaS_ACC,1410867,Run TestCase - Lost Card,https://gdcqatestrail01/testrail/index.php?/tests/view/177233514,https://gdcqatestrail01.nextestate.com:448/108/1410867/200598574-2024-06-30-05-07-06--request.txt,https://gdcqatestrail01.nextestate.com:448/108/1410867/200598574-2024-06-30-05-07-06--response.txt
GetInboxMessages - FilterByCategory,Partner Service_BaaS_ACC,1410867,Run TestCase - SendCNMessage -NT57,https://gdcqatestrail01/testrail/index.php?/tests/view/177233571,https://gdcqatestrail01.nextestate.com:448/108/1410867/200599212-2024-06-30-05-04-29--request.txt,https://gdcqatestrail01.nextestate.com:448/108/1410867/200599212-2024-06-30-05-04-29--response.txt
GetInboxMessages - AllMessages - HappyPath,Partner Service_BaaS_ACC,1410867,Run TestCase - Notification Enrollment,https://gdcqatestrail01/testrail/index.php?/tests/view/177233570,https://gdcqatestrail01.nextestate.com:448/108/1410867/200599210-2024-06-30-05-02-14--request.txt,https://gdcqatestrail01.nextestate.com:448/108/1410867/200599210-2024-06-30-05-02-14--response.txt
GetExternalBankAccounts - NoLinkedAccounts,Partner Service_BaaS_ACC,1410867,Run TestCase - GetExternalBankAccounts,https://gdcqatestrail01/testrail/index.php?/tests/view/177233595,https://gdcqatestrail01.nextestate.com:448/108/1410867/200599435-2024-06-30-05-02-04--request.txt,https://gdcqatestrail01.nextestate.com:448/108/1410867/200599435-2024-06-30-05-02-04--response.txt
GetInboxMessageUnreadCount - MutipleCounts,Partner Service_BaaS_ACC,1410867,Run TestCase - GenerateAuthorization,https://gdcqatestrail01/testrail/index.php?/tests/view/177233393,None,None
GetFeeWaiver - HappyPath,Partner Service_BaaS_ACC,1410867,Run TestCase - GenerateAuthorization,https://gdcqatestrail01/testrail/index.php?/tests/view/177233561,None,None
GetFeeWaiver - NegativeCases,Partner Service_BaaS_ACC,1410867,Run TestCase - GenerateAuthorization,https://gdcqatestrail01/testrail/index.php?/tests/view/177233578,None,None
Finicity - Authorize Extend - Invalid Client Id Secret,Partner Service_BaaS_ACC,1410867,Run TestCase - GenerateAuthorization,https://gdcqatestrail01/testrail/index.php?/tests/view/177233583,None,None
Experian- Put OptIn - Account ID Not Exist,Partner Service_BaaS_ACC,1410867,Run TestCase - GenerateAuthorization,https://gdcqatestrail01/testrail/index.php?/tests/view/177233582,None,None
Experian- Redirect - Account ID Not Exist,Partner Service_BaaS_ACC,1410867,Run TestCase - GenerateAuthorization,https://gdcqatestrail01/testrail/index.php?/tests/view/177233581,None,None
Feature - Unenroll WMT1,Partner Service_BaaS_ACC,1410867,Run TestCase - GenerateAuthorization,https://gdcqatestrail01/testrail/index.php?/tests/view/177233434,None,None
Feature - Enroll WMT1,Partner Service_BaaS_ACC,1410867,Run TestCase - GenerateAuthorization,https://gdcqatestrail01/testrail/index.php?/tests/view/177233433,None,None
Enroll OD3 - Qualified Eligibility - ACI,Partner Service_BaaS_ACC,1410867,Run TestCase - GenerateAuthorization,https://gdcqatestrail01/testrail/index.php?/tests/view/177233432,None,None
Enroll OD2 - Qualified Eligibility - ACI,Partner Service_BaaS_ACC,1410867,Run TestCase - GenerateAuthorization,https://gdcqatestrail01/testrail/index.php?/tests/view/177233431,None,None
Enroll OD1 - Qualified Eligibility - ACI,Partner Service_BaaS_ACC,1410867,Run TestCase - Get Transaction,https://gdcqatestrail01/testrail/index.php?/tests/view/177233430,None,None
ValidateExternaCard-UnsupportedCard,Partner Service_BaaS_ACC,1410867,Run TestCase - Enrollments,https://gdcqatestrail01/testrail/index.php?/tests/view/177233423,https://gdcqatestrail01.nextestate.com:448/108/1410867/200596891-2024-06-30-04-57-50--request.txt,https://gdcqatestrail01.nextestate.com:448/108/1410867/200596891-2024-06-30-04-57-50--response.txt
Enrollments - HappyPath - VerifyPhoneNumber,Partner Service_BaaS_ACC,1410867,Run TestCase - Enrollments,https://gdcqatestrail01/testrail/index.php?/tests/view/177233466,https://gdcqatestrail01.nextestate.com:448/108/1410867/200598032-2024-06-30-04-51-10--request.txt,https://gdcqatestrail01.nextestate.com:448/108/1410867/200598032-2024-06-30-04-51-10--response.txt
Enrollments - ContactVerification - VerifyMultiplePhoneNumber,Partner Service_BaaS_ACC,1410867,Run TestCase - SplunkParsePN,https://gdcqatestrail01/testrail/index.php?/tests/view/177233454,https://gdcqatestrail01.nextestate.com:448/108/1410867/200597841-2024-06-30-03-53-04--request.txt,https://gdcqatestrail01.nextestate.com:448/108/1410867/200597841-2024-06-30-03-53-04--response.txt
